date,year,tournament,slug,field_size,winning_score,cash_line_p80,median_score,top_n,winners_avg_own,winners_low_own_mean,winners_unique_pct,winners_dup_max,winner_avg_own,winner_low_own_count,n_slate_defining,source_file
01-27-2024,2024,Farmers,pga_rd4_sd,14117,316.15,212.5,234.25,100,19.58,1.01,85.0,4,14.62,3,4,01-27-2024 Farmers R4 SD.csv
01-28-2023,2023,Farmers Insurance Open,pga_rd4_sd,13061,329.95,162.5,193.1,100,17.52,2.15,81.0,7,17.26,2,2,01-28-2023 Farmer_s Insurance Open R4 SD.csv
02-01-2026,2026,Farmers Insurance Open,pga_rd4_sd,9411,368.2,248.65,272.5,94,19.8,0.99,84.0,3,17.7,1,6,02-01-2026 Farmers Insurance Open R4 SD.csv
02-02-2025,2025,AT&T Pebble Beach Pro-Am,pga_rd4_sd,11764,364.6,269.68,292.35,100,29.7,1.11,26.0,48,30.16,1,1,02-02-2025 AT&T Pebble Beach Pro-Am R4 SD.csv
02-05-2023,2023,AT&T Pebble Beach Pro Am,pga_rd4_sd,11764,398.05,240.0,272.9,100,23.14,1.2,80.0,7,22.86,0,1,02-05-2023 AT&T Pebble Beach Pro Am R4 SD.csv
02-08-2026,2026,Waste Management Phoenix Open,pga_rd4_sd,9411,359.75,239.05,261.95,94,15.29,2.32,85.1,2,13.49,3,1,02-08-2026 Waste Management Phoenix Open R4 SD.csv
02-09-2025,2025,Waste Management Phoenix Open,pga_rd4_sd,9411,370.45,249.15,276.05,94,25.26,0.49,39.4,16,23.8,1,3,02-09-2025 Waste Management Phoenix Open R4 SD.csv
02-11-2024,2024,WMPO,pga_rd4_sd,6802,380.5,235.45,263.52,68,20.09,1.53,80.9,7,18.31,2,2,02-11-2024 WMPO R4 SD.csv
02-12-2023,2023,Waste Management Phoenix Open,pga_rd4_sd,8823,366.8,240.07,263.7,88,20.82,1.22,72.7,5,24.22,1,1,02-12-2023 Waste Management Phoenix Open R4 SD.csv
02-15-2026,2026,AT&T Pebble Beach Pro-Am,pga_rd4_sd,14117,391.25,269.2,298.4,100,16.71,2.15,81.0,3,19.87,2,5,02-15-2026 AT&T Pebble Beach Pro-Am R4 SD.csv
02-16-2025,2025,Genesis Invitational,pga_rd4_sd,16470,382.15,259.2,286.6,100,22.81,1.3,43.0,6,20.05,2,3,02-16-2025 The Genesis Invitational R4 SD.csv
02-18-2024,2024,Genesis,pga_rd4_sd,17859,359.25,216.9,240.2,100,24.9,0.72,43.0,30,21.04,1,3,02-18-2024 Genesis R4 SD.csv
02-19-2023,2023,Genesis Invitational,pga_rd4_sd,18823,356.2,229.7,251.7,100,18.9,2.07,73.0,6,17.89,2,3,02-19-2023 The Genesis Invitational R4 SD.csv
02-22-2026,2026,Genesis Invitational,pga_rd4_sd,11764,378.6,256.5,281.35,100,17.15,1.35,81.0,4,19.95,1,3,02-22-2026 The Genesis Invitational R4 SD.csv
02-23-2025,2025,Mexico Open,pga_rd4_sd,11764,353.1,233.65,255.85,100,18.53,1.62,89.0,3,19.73,2,2,02-23-2025 Mexico Open R4 SD.csv
02-25-2024,2024,Mexico Open,pga_rd4_sd,11764,341.75,224.03,245.87,100,17.0,1.66,83.0,9,20.4,1,5,02-25-2024 Mexico Open R4 SD.csv
02-26-2023,2023,Honda Classic,pga_rd4_sd,11764,319.7,196.7,221.85,100,21.68,1.36,58.0,17,20.08,1,2,02-26-2023 The Honda Classic R4 SD.csv
03-01-2026,2026,Cognizant Classic,pga_rd4_sd,8235,342.3,245.8,267.9,82,21.34,2.18,73.2,11,17.7,3,3,03-01-2026 Cognizant Classic R4 SD.csv
